time,finish_users_count,users_count 
3490,0,1725428 
3500,0,1730507 
3510,0,1735470 
3520,0,1740451 
3530,0,1745372 
3540,0,1750372 
3550,0,1755368 
3560,0,1760304 
3570,0,1765252 
3580,0,1770329 
3590,0,1775278 
3600,0,1780262 
3610,0,1785382 
3620,0,1790251 
3630,0,1795173 
3640,0,1800212 
3650,0,1805040 
3660,0,1810136 
3670,0,1815231 
3680,0,1820213 
3690,0,1825138 
3700,0,1830125 
3710,0,1835101 
3720,0,1839970 
3730,0,1844922 
3740,0,1849943 
3750,0,1855085 
3760,0,1859997 
3770,0,1864999 
3780,0,1869988 
3790,0,1875077 
3800,0,1880069 
3810,0,1885036 
3820,0,1890124 
3830,0,1895154 
3840,0,1900155 
3850,0,1905177 
3860,0,1910226 
3870,0,1915337 
3880,0,1920246 
3890,0,1925267 
3900,0,1930264 
3910,0,1935213 
3920,0,1940292 
3930,0,1945312 
3940,0,1950362 
3950,0,1955406 
3960,1,1960280 
3970,1,1965245 
3980,3,1970309 
3990,10,1975296 
4000,12,1980234 
4010,15,1985189 
4020,23,1990149 
4030,29,1995074 
4040,31,2000069 
4050,37,2005063 
4060,43,2010159 
4070,46,2015271 
4080,51,2020306 
4090,59,2025489 
4100,72,2030509 
4110,90,2035417 
4120,116,2040421 
4130,141,2045360 
4140,170,2050578 
4150,199,2055628 
4160,215,2060645 
4170,245,2065636 
4180,266,2070705 
4190,293,2075780 
4200,329,2080820 
4210,366,2085799 
4220,404,2090864 
4230,476,2095883 
4240,561,2100950 
4250,635,2106084 
4260,725,2111127 
4270,800,2116240 
4280,879,2121293 
4290,965,2126209 
4300,1048,2131158 
4310,1140,2136198 
4320,1229,2141128 
4330,1331,2146154 
4340,1442,2151201 
4350,1568,2156334 
4360,1736,2161427 
4370,1941,2166477 
4380,2176,2171513 
4390,2379,2176487 
4400,2595,2181479 
4410,2824,2186501 
4420,3013,2191455 
4430,3234,2196572 
4440,3458,2201574 
4450,3688,2206248 
4460,3935,2211202 
4470,4165,2216150 
4480,4445,2221110 
4490,4789,2226067 
4500,5137,2231136 
4510,5538,2236072 
4520,5917,2241055 
4530,6310,2246120 
4540,6661,2251105 
4550,7082,2256057 
4560,7470,2261068 
4570,7843,2266085 
4580,8237,2271215 
4590,8636,2276199 
4600,9091,2281195 
4610,9573,2286247 
4620,10102,2291285 
4630,10669,2296291 
4640,11249,2301363 
4650,11802,2306384 
4660,12375,2311333 
4670,12918,2316261 
4680,13441,2321255 
4690,13996,2326274 
4700,14553,2331296 
4710,15109,2336352 
4720,15640,2341234 
4730,16240,2346275 
4740,16910,2351261 
4750,17659,2356373 
4760,18373,2361293 
4770,19083,2366375 
4780,19768,2371386 
