time,session 
3960,2122.02197265625 
3970,2122.02197265625 
3980,2122.02197265625 
3990,2121.655029296875 
4000,2121.655029296875 
4010,2121.655029296875 
4020,2121.655029296875 
4030,2121.655029296875 
4040,2121.655029296875 
4050,2121.560791015625 
4060,2121.51123046875 
4070,2121.51123046875 
4080,2121.370849609375 
4090,2121.370849609375 
4100,2121.370849609375 
4110,2121.370849609375 
4120,2121.370849609375 
4130,2121.370849609375 
4140,2121.370849609375 
4150,2121.370849609375 
4160,2121.370849609375 
4170,2121.370849609375 
4180,2121.370849609375 
4190,2121.370849609375 
4200,2121.370849609375 
4210,2121.370849609375 
4220,2121.370849609375 
4230,2121.370849609375 
4240,2121.370849609375 
4250,2121.370849609375 
4260,2121.370849609375 
4270,2121.370849609375 
4280,2121.370849609375 
4290,2121.370849609375 
4300,2121.370849609375 
4310,2121.370849609375 
4320,2121.370849609375 
4330,2121.370849609375 
4340,2121.370849609375 
4350,2121.370849609375 
4360,2121.370849609375 
4370,2121.370849609375 
4380,2121.370849609375 
4390,2121.370849609375 
4400,2121.370849609375 
4410,2121.370849609375 
4420,2121.370849609375 
4430,2121.370849609375 
4440,2121.370849609375 
4450,2121.370849609375 
4460,2121.370849609375 
4470,2121.370849609375 
4480,2121.370849609375 
4490,2121.370849609375 
4500,2121.370849609375 
4510,2121.370849609375 
4520,2121.370849609375 
4530,2121.370849609375 
4540,2121.370849609375 
4550,2121.370849609375 
4560,2121.370849609375 
4570,2121.370849609375 
4580,2121.370849609375 
4590,2121.370849609375 
4600,2121.370849609375 
4610,2121.370849609375 
4620,2121.370849609375 
4630,2121.3330078125 
4640,2121.3330078125 
4650,2121.3330078125 
4660,2121.3330078125 
4670,2121.3330078125 
4680,2121.3330078125 
4690,2121.3330078125 
4700,2121.3330078125 
4710,2121.3330078125 
4720,2121.3330078125 
4730,2121.3330078125 
4740,2121.3330078125 
4750,2121.277099609375 
4760,2121.277099609375 
4770,2121.277099609375 
4780,2121.277099609375 
