time,connect,request 
2780,492.4,981.8 
2790,480.5,1041.3 
2800,493.6,941.2 
2810,489.5,953 
2820,497.6,1010.9 
2830,503.7,1023.1 
2840,511.6,1032.3 
2850,483.3,983.1 
2860,489.2,940.5 
2870,504.7,968.6 
2880,513.9,1053.7 
2890,489,970.9 
2900,504.7,985.8 
2910,500.3,982.2 
2920,495.2,1087.2 
2930,501.5,950.1 
2940,507,1036.8 
2950,487.4,928.9 
2960,497.2,994.1 
2970,505.8,951.4 
2980,499.9,1103 
2990,491.6,885.1 
3000,504.3,1095.6 
3010,505.9,1005.1 
3020,497.6,982.4 
3030,496.6,1012.5 
3040,494.7,906.1 
3050,502.9,1067.7 
3060,495.4,928.8 
3070,501.7,1005.1 
3080,498.4,1065.5 
3090,504.2,954.2 
3100,499.9,989.4 
3110,508.9,1027.6 
3120,505.5,984.8 
3130,489.2,1028.9 
3140,506.6,986 
3150,516.2,1076 
3160,501,988.1 
3170,502.8,952.6 
3180,510.6,1018.4 
3190,502.7,1029.6 
3200,501.8,948.7 
3210,501,1119 
3220,500.6,976.9 
3230,513.1,976.7 
3240,498.6,966.3 
3250,503,1086.9 
3260,511,963 
3270,501.4,1063 
3280,487.4,919.3 
3290,492.5,1000.3 
3300,499.3,1000.2 
3310,493.4,957.8 
3320,501.5,1061.7 
3330,499,966.9 
3340,496.7,963.2 
3350,496.6,991.7 
3360,495.7,1009.2 
3370,497,1048.7 
3380,515.1,997 
3390,481.3,971.1 
3400,526.8,940 
3410,520.4,1009.7 
3420,492.1,1159.4 
3430,492.7,850.1 
3440,509.7,1048.3 
3450,495.9,1012.6 
3460,499.5,1010.5 
3470,498.5,1033.5 
3480,515.8,973.3 
3490,507.4,982.6 
3500,508.9,1108 
3510,496.3,915.8 
3520,492.6,950.1 
3530,495.2,1047.4 
3540,478.3,982.6 
3550,511.5,1018.8 
3560,482.2,921.9 
3570,500.8,1032.3 
3580,500.5,1012.8 
3590,496.6,1049.1 
3600,498.3,861.9 
3610,450.5,1025.9 
3620,532.3,897.2 
3630,435.3,898 
3640,546.4,1038.6 
3650,511.8,1125.9 
3660,497,1001.2 
3670,540,1095.7 
3680,483.7,991.7 
3690,498.2,901.3 
3700,482.2,1013.2 
3710,505,1013 
3720,499.8,896.9 
3730,503.9,1060.5 
3740,506.9,1022.8 
3750,502.7,1005.6 
3760,473.8,922.3 
3770,524.7,1037 
3780,443.8,903.9 
3790,534.8,1113.9 
3800,514.7,1028.3 
3810,496.7,960.1 
3820,510.5,1039.1 
3830,467.2,900.7 
3840,452.8,1047.2 
3850,539.5,885.2 
3860,526.6,1085.2 
