time,freemem@tsung_controller@3569fb844dae 
1160,3632.91015625 
1170,3632.91015625 
1180,3632.91015625 
1190,3632.91015625 
1200,3632.91015625 
1210,3632.91015625 
1220,3632.91015625 
1230,3632.91015625 
1240,3632.91015625 
1250,3632.91015625 
1260,3632.91015625 
1270,3632.91015625 
1280,3632.91015625 
1290,3632.91015625 
1300,3632.91015625 
1310,3632.91015625 
1330,3632.91015625 
1340,3632.91015625 
1350,3632.91015625 
1360,3632.91015625 
1370,3632.91015625 
1380,3632.91015625 
1390,3632.91015625 
1400,3632.91015625 
1410,3632.91015625 
1420,3632.91015625 
1430,3632.91015625 
1440,3632.91015625 
1450,3632.91015625 
1460,3632.91015625 
1470,3632.91015625 
1480,3632.91015625 
1490,3632.91015625 
1500,3632.91015625 
1510,3632.91015625 
1520,3632.91015625 
1530,3632.91015625 
1540,3632.91015625 
1550,3632.91015625 
1560,3632.91015625 
1570,3632.91015625 
1580,3632.91015625 
1590,3632.91015625 
1600,3632.91015625 
1610,3632.91015625 
1620,3632.91015625 
1630,3632.91015625 
1640,3632.91015625 
1650,3632.91015625 
1660,3632.91015625 
1670,3632.91015625 
1680,3632.91015625 
1690,3632.91015625 
1700,3632.91015625 
1710,3632.91015625 
1720,3632.91015625 
1730,3632.91015625 
1740,3632.91015625 
1750,3632.91015625 
1760,3632.91015625 
1770,3632.91015625 
1780,3632.91015625 
1790,3632.91015625 
1800,3632.91015625 
1810,3632.91015625 
1820,3632.91015625 
1830,3632.91015625 
1840,3632.91015625 
1850,3632.91015625 
1860,3632.91015625 
1870,3632.91015625 
1880,3632.91015625 
1890,3632.91015625 
1900,3632.91015625 
1910,3632.91015625 
1920,3632.91015625 
1930,3632.91015625 
1940,3632.91015625 
1950,3632.91015625 
1960,3632.91015625 
1970,3632.91015625 
1980,3632.91015625 
1990,3632.91015625 
2000,3632.91015625 
2010,3632.91015625 
2020,3632.91015625 
2030,3632.91015625 
2040,3632.91015625 
2050,3632.91015625 
2060,3632.91015625 
2070,3632.91015625 
2080,3632.91015625 
2090,3632.91015625 
2100,3632.91015625 
2110,3632.91015625 
2120,3632.91015625 
2130,3632.91015625 
2140,3632.91015625 
2150,3632.91015625 
2160,3632.91015625 
2170,3632.91015625 
2180,3632.91015625 
2190,3632.91015625 
2200,3632.91015625 
2210,3632.91015625 
2220,3632.91015625 
2230,3632.91015625 
2240,3632.91015625 
2250,3632.91015625 
2260,3632.91015625 
2270,3632.91015625 
2280,3632.91015625 
2290,3632.91015625 
2300,3632.91015625 
2310,3632.91015625 
2320,3632.91015625 
2330,3632.91015625 
2340,3632.91015625 
2350,3632.91015625 
2360,3632.91015625 
2370,3632.91015625 
2380,3632.91015625 
2390,3632.91015625 
2400,3632.91015625 
2410,3632.91015625 
2420,3632.91015625 
2430,3632.91015625 
2440,3632.91015625 
2450,3632.91015625 
2460,3632.91015625 
2470,3632.91015625 
2480,3632.91015625 
2490,3632.91015625 
2500,3632.91015625 
2510,3632.91015625 
2520,3632.91015625 
2530,3632.91015625 
2540,3632.91015625 
2550,3632.91015625 
2560,3632.91015625 
2570,3632.91015625 
2580,3632.91015625 
2590,3632.91015625 
2600,3632.91015625 
2610,3632.91015625 
2620,3632.91015625 
2630,3632.91015625 
2640,3632.91015625 
2650,3632.91015625 
2660,3632.91015625 
2670,3632.91015625 
2680,3632.91015625 
2690,3632.91015625 
2700,3632.91015625 
2710,3632.91015625 
2720,3632.91015625 
2730,3632.91015625 
2740,3632.91015625 
2750,3632.91015625 
2760,3632.91015625 
2770,3632.91015625 
2780,3632.91015625 
2790,3632.91015625 
2800,3632.91015625 
2810,3632.91015625 
2820,3632.91015625 
2830,3632.91015625 
2840,3632.91015625 
2850,3632.91015625 
2860,3632.91015625 
2870,3632.91015625 
2880,3632.91015625 
2890,3632.91015625 
2900,3632.91015625 
2910,3632.91015625 
2920,3632.91015625 
2930,3632.91015625 
2940,3632.91015625 
2950,3632.91015625 
2960,3632.91015625 
2980,3632.91015625 
2990,3632.91015625 
3000,3632.91015625 
3010,3632.91015625 
3020,3632.91015625 
3030,3632.91015625 
3040,3632.91015625 
3050,3632.91015625 
3060,3632.91015625 
3070,3632.91015625 
3080,3632.91015625 
3090,3632.91015625 
3100,3632.91015625 
3110,3632.91015625 
3120,3632.91015625 
3130,3632.91015625 
3140,3632.91015625 
3150,3632.91015625 
3160,3632.91015625 
3170,3632.91015625 
3180,3632.91015625 
3190,3632.91015625 
3200,3632.91015625 
3210,3632.91015625 
3220,3632.91015625 
3230,3632.91015625 
3240,3632.91015625 
3250,3632.91015625 
3260,3632.91015625 
3270,3632.91015625 
3280,3632.91015625 
3290,3632.91015625 
3300,3632.91015625 
3310,3632.91015625 
3320,3632.91015625 
3330,3632.91015625 
3340,3632.91015625 
3350,3632.91015625 
3360,3632.91015625 
3370,3632.91015625 
3380,3632.91015625 
3390,3632.91015625 
3400,3632.91015625 
3410,3632.91015625 
3420,3632.91015625 
3430,3632.91015625 
3440,3632.91015625 
3450,3632.91015625 
3460,3632.91015625 
3470,3632.91015625 
3480,3632.91015625 
3490,3632.91015625 
3500,3632.91015625 
3510,3632.91015625 
3520,3632.91015625 
3530,3632.91015625 
3540,3632.91015625 
3550,3632.91015625 
3560,3632.91015625 
3570,3632.91015625 
3580,3632.91015625 
3590,3632.91015625 
3600,3632.91015625 
3610,3632.91015625 
3620,3632.91015625 
3630,3632.91015625 
3640,3632.91015625 
3650,3632.91015625 
3660,3632.91015625 
3670,3632.91015625 
3680,3632.91015625 
3690,3632.91015625 
3700,3632.91015625 
3710,3632.91015625 
3720,3632.91015625 
3730,3632.91015625 
3740,3632.91015625 
3750,3632.91015625 
3760,3632.91015625 
3770,3632.91015625 
3780,3632.91015625 
3790,3632.91015625 
3800,3632.91015625 
3810,3632.91015625 
3820,3632.91015625 
3830,3632.91015625 
3840,3632.91015625 
3850,3632.91015625 
3860,3632.91015625 
3870,3632.91015625 
3880,3632.91015625 
3890,3632.91015625 
3900,3632.91015625 
3910,3632.91015625 
3920,3632.91015625 
3930,3632.91015625 
3940,3632.91015625 
3950,3632.91015625 
3960,3632.91015625 
3970,3632.91015625 
3980,3632.91015625 
3990,3632.91015625 
4000,3632.91015625 
4010,3632.91015625 
4020,3632.91015625 
4030,3632.91015625 
4040,3632.91015625 
4050,3632.91015625 
4060,3632.91015625 
4070,3632.91015625 
4080,3632.91015625 
4090,3632.91015625 
4100,3632.91015625 
4110,3632.91015625 
4120,3632.91015625 
4130,3632.91015625 
4140,3632.91015625 
4150,3632.91015625 
4160,3632.91015625 
4170,3632.91015625 
4180,3632.91015625 
4190,3632.91015625 
4200,3632.91015625 
4210,3632.91015625 
4220,3632.91015625 
4230,3632.91015625 
4240,3632.91015625 
4250,3632.91015625 
4260,3632.91015625 
4270,3632.91015625 
4280,3632.91015625 
4290,3632.91015625 
4300,3632.91015625 
4310,3632.91015625 
4320,3632.91015625 
4330,3632.91015625 
4340,3632.91015625 
4350,3632.91015625 
4360,3632.91015625 
4370,3632.91015625 
4380,3632.91015625 
4390,3632.91015625 
4400,3632.91015625 
4410,3632.91015625 
4420,3632.91015625 
4430,3632.91015625 
4440,3632.91015625 
4450,3632.91015625 
4460,3632.91015625 
4470,3632.91015625 
4480,3632.91015625 
4490,3632.91015625 
4500,3632.91015625 
4510,3632.91015625 
4520,3632.91015625 
4530,3632.91015625 
4540,3632.91015625 
4550,3632.91015625 
4560,3632.91015625 
4570,3632.91015625 
4580,3632.91015625 
4590,3632.91015625 
4600,3632.91015625 
4610,3632.91015625 
4620,3632.91015625 
4630,3632.91015625 
4640,3632.91015625 
4660,3632.91015625 
4670,3632.91015625 
4680,3632.91015625 
4690,3632.91015625 
4700,3632.91015625 
4710,3632.91015625 
4720,3632.91015625 
4730,3632.91015625 
4740,3632.91015625 
4750,3632.91015625 
4760,3632.91015625 
4770,3632.91015625 
4780,3632.91015625 
