time,page 
50,1.1166237798306011 
60,4.533354267922606 
70,4.547580810230228 
80,5.07942325394816 
90,6.636208857336419 
100,8.659858625857769 
110,10.750955313553268 
120,11.908707366292482 
130,14.139162863444623 
140,15.895249755257646 
150,15.715640723833115 
160,17.9019578083495 
170,20.24666133114303 
180,23.435501707244 
190,23.295500692290634 
200,25.02111917345764 
210,24.999996416169896 
220,24.231202715712165 
230,28.63357523189552 
240,27.50637928608624 
250,31.651675373798607 
260,31.32367873491768 
270,30.205811800314823 
280,33.407963116190665 
290,39.97813437279232 
300,35.25491046741285 
310,38.1435824366316 
320,38.26468079305125 
330,43.108421890700164 
340,37.90960724260461 
350,42.46781682128804 
360,44.7862044227664 
370,46.24921961267192 
380,45.88433154559917 
390,47.32237836039755 
400,48.477093727146695 
410,53.381548870979486 
420,60.813089115030074 
430,56.78965644218761 
440,53.59130583220462 
450,58.81615837863719 
460,54.532303246878456 
470,56.187970864283784 
480,59.300674339277236 
490,61.97149309674362 
500,70.08339018103793 
510,64.12505360250496 
520,66.71111186748998 
530,69.62852964696835 
540,77.00966287751875 
550,71.2859654318753 
560,79.58432605749627 
570,75.78065545764144 
580,80.21413531394829 
590,86.89240325582276 
600,78.12019339974496 
610,87.767741630664 
620,85.33730251020718 
630,77.82961506042571 
640,78.9628033095534 
650,92.65605332856359 
660,90.88240519969368 
670,86.06536076523288 
680,95.56550434871865 
690,109.32904621867664 
700,96.8988892332718 
710,97.51697193968504 
720,97.43336444264759 
730,92.83051041793473 
740,110.56238568338483 
750,111.02512491925197 
760,99.35298084419539 
770,108.34004352471906 
780,106.19809060203163 
790,105.21192480190619 
800,99.88375664205387 
810,108.16064668874198 
820,150.34854636288657 
830,109.09887391145035 
840,116.2473611635185 
850,109.23002284159764 
860,111.90711005020427 
870,107.40808154609677 
880,109.54377572147563 
890,113.569905787354 
900,121.88900049444763 
910,121.9503190097571 
920,113.42739348066429 
930,116.73827115808979 
940,125.66901543624546 
950,118.20622749099391 
960,130.5449208834684 
970,127.97214631111532 
980,120.78197099950674 
990,118.72190322257744 
1000,136.03565633906118 
1010,128.62472101680976 
1020,122.08675432397419 
1030,124.06843656347456 
1040,122.72528798366386 
1050,130.5242989902597 
1060,123.94832919846144 
1070,158.54906978278177 
1080,138.1654423395511 
1090,136.35829689103406 
1100,131.64222807074694 
1110,133.85425988294145 
1120,140.28864816183508 
1130,130.5464963181398 
1140,136.99171187408203 
1150,167.8206300846084 
1160,138.83561700883737 
1170,136.20536240985768 
1180,139.17335790381475 
1190,144.28984463802084 
1200,149.4039597060028 
1210,159.53576827326103 
1220,144.32279375426708 
1230,149.00703131869844 
1240,144.38773720588753 
1250,143.05441309005386 
1260,158.6614562927549 
1270,152.09884490722428 
1280,149.13453817728015 
1290,154.06324635605753 
1300,155.7457946783932 
1310,149.82259551761717 
1320,147.96522883556034 
1330,147.99299301753635 
1340,156.23671857562996 
1350,165.2374725151316 
1360,149.24554212268905 
1370,157.2255341699676 
1380,171.9890441230281 
1390,181.1809604899849 
1400,170.27078974637107 
1410,156.357994800409 
1420,188.25855593937183 
1430,216.296758232145 
1440,179.24479854851253 
1450,195.42180754219615 
1460,182.45669286819415 
1470,170.46685390310847 
1480,170.9086839544485 
1490,204.3237724486241 
1500,170.1124114813644 
1510,182.80259625195 
1520,178.50683841461452 
1530,171.39889627752493 
1540,178.25900268133196 
1550,197.26700083322362 
1560,175.51393339020817 
1570,174.65228550099525 
1580,185.1235321280436 
1590,186.70301327703095 
1600,175.0492977612594 
1610,177.70432319091069 
1620,183.2517804029971 
1630,193.7604275089768 
1640,184.57224655299012 
1650,214.26092683375785 
1660,193.95821351566354 
1670,192.70019780929866 
1680,196.74291115962708 
1690,213.4379693844255 
1700,235.47624244313823 
1710,192.64772057496424 
1720,206.63146073973596 
1730,273.3685267613349 
1740,201.8891311660997 
1750,210.0383809350754 
1760,196.7382120527431 
1770,203.3990497294945 
1780,217.5315577103941 
1790,223.1555304737855 
1800,220.08638749948773 
1810,221.29779302193992 
1820,214.25279847791853 
1830,213.05018967575427 
1840,217.93536750854378 
1850,205.26547174222688 
1860,210.07638554494164 
1870,203.0933844582791 
1880,225.80471470997057 
1890,230.84338265687992 
1900,227.55242004563488 
1910,224.29320849329864 
1920,237.24147508313442 
1930,234.5748479183803 
1940,241.45986624602205 
1950,223.14318515214163 
1960,258.1787872784224 
1970,230.01608960484228 
1980,245.67618430916806 
1990,237.68220364227398 
2000,231.53271794033046 
2010,226.9632923953587 
2020,234.2549920923166 
2030,242.58338140185893 
2040,227.92679779361984 
2050,245.7682961388999 
2060,253.97550202328893 
2070,247.37676689279493 
2080,273.67446773544197 
2090,235.4397052825179 
2100,267.50936629865976 
2110,246.22641498523484 
2120,245.962919991181 
2130,241.48568122342107 
2140,267.3214274341465 
2150,272.9218564300473 
2160,265.41753740922405 
2170,266.86766226566755 
2180,247.62021866278297 
2190,267.03015220102077 
2200,301.548470159886 
2210,247.92776756087585 
2220,258.6588731979215 
2230,265.2399623308801 
2240,255.74272080907696 
2250,255.5070891791403 
2260,259.7883114870151 
2270,289.2690283329408 
2280,262.2924811283869 
2290,252.05923364333535 
2300,262.44908499125916 
2310,281.04494662332763 
2320,276.8091167255398 
2330,277.81694048153236 
2340,269.6484875242085 
2350,268.43331176607717 
2360,276.3471912467142 
2370,264.9656620530004 
2380,342.5685313424921 
2390,285.7562546375308 
2400,276.51611817963067 
2410,278.35737420432105 
2420,286.1394457305504 
2430,279.4263716000085 
2440,275.68853490698586 
2450,299.4907792270347 
2460,290.6576455950476 
2470,281.6099853696605 
2480,290.6732820898853 
2490,285.6181939722192 
2500,296.6201196228409 
2510,276.8402747355156 
2520,318.9895244729897 
2530,290.3443263417592 
