time,page 
50,14.27392578125 
60,285.22900390625 
70,285.22900390625 
80,285.22900390625 
90,285.22900390625 
100,285.22900390625 
110,285.22900390625 
120,285.22900390625 
130,285.22900390625 
140,285.22900390625 
150,285.22900390625 
160,285.22900390625 
170,285.22900390625 
180,285.22900390625 
190,285.22900390625 
200,285.22900390625 
210,285.22900390625 
220,285.22900390625 
230,285.22900390625 
240,285.22900390625 
250,285.22900390625 
260,285.22900390625 
270,299.39892578125 
280,299.39892578125 
290,1136.55810546875 
300,1136.55810546875 
310,1136.55810546875 
320,1136.55810546875 
330,1136.55810546875 
340,1136.55810546875 
350,1136.55810546875 
360,1136.55810546875 
370,1136.55810546875 
380,1136.55810546875 
390,1136.55810546875 
400,1136.55810546875 
410,1136.55810546875 
420,1136.55810546875 
430,1136.55810546875 
440,1136.55810546875 
450,1136.55810546875 
460,1136.55810546875 
470,1136.55810546875 
480,1136.55810546875 
490,1136.55810546875 
500,1136.55810546875 
510,1136.55810546875 
520,1136.55810546875 
530,1136.55810546875 
540,1136.55810546875 
550,1136.55810546875 
560,1136.55810546875 
570,1136.55810546875 
580,1136.55810546875 
590,1136.55810546875 
600,1136.55810546875 
610,1136.55810546875 
620,1136.55810546875 
630,1136.55810546875 
640,1136.55810546875 
650,1136.55810546875 
660,1136.55810546875 
670,1136.55810546875 
680,1136.55810546875 
690,1136.55810546875 
700,1136.55810546875 
710,1136.55810546875 
720,1136.55810546875 
730,1136.55810546875 
740,1136.55810546875 
750,1136.55810546875 
760,1136.55810546875 
770,1136.55810546875 
780,1136.55810546875 
790,1136.55810546875 
800,1136.55810546875 
810,1136.55810546875 
820,1559.9580078125 
830,1559.9580078125 
840,1559.9580078125 
850,1559.9580078125 
860,1559.9580078125 
870,1559.9580078125 
880,1559.9580078125 
890,1559.9580078125 
900,1559.9580078125 
910,1750.98388671875 
920,1750.98388671875 
930,1750.98388671875 
940,1750.98388671875 
950,1750.98388671875 
960,1750.98388671875 
970,1750.98388671875 
980,1750.98388671875 
990,1750.98388671875 
1000,1750.98388671875 
1010,1750.98388671875 
1020,1750.98388671875 
1030,1750.98388671875 
1040,1750.98388671875 
1050,1750.98388671875 
1060,1750.98388671875 
1070,1750.98388671875 
1080,1750.98388671875 
1090,1750.98388671875 
1100,1750.98388671875 
1110,1750.98388671875 
1120,1750.98388671875 
1130,1750.98388671875 
1140,1750.98388671875 
1150,1750.98388671875 
1160,1750.98388671875 
1170,1750.98388671875 
1180,1750.98388671875 
1190,1750.98388671875 
1200,1750.98388671875 
1210,1750.98388671875 
1220,1750.98388671875 
1230,1750.98388671875 
1240,1750.98388671875 
1250,1750.98388671875 
1260,1750.98388671875 
1270,1750.98388671875 
1280,1750.98388671875 
1290,1750.98388671875 
1300,1750.98388671875 
1310,1750.98388671875 
1320,1750.98388671875 
1330,1750.98388671875 
1340,1750.98388671875 
1350,1750.98388671875 
1360,1750.98388671875 
1370,1750.98388671875 
1380,1750.98388671875 
1390,1750.98388671875 
1400,1750.98388671875 
1410,1750.98388671875 
1420,1750.98388671875 
1430,1750.98388671875 
1440,1750.98388671875 
1450,1750.98388671875 
1460,1750.98388671875 
1470,1750.98388671875 
1480,1750.98388671875 
1490,1750.98388671875 
1500,1750.98388671875 
1510,1750.98388671875 
1520,1789.35107421875 
1530,1789.35107421875 
1540,1789.35107421875 
1550,1789.35107421875 
1560,1821.866943359375 
1570,1821.866943359375 
1580,1821.866943359375 
1590,1821.866943359375 
1600,1821.866943359375 
1610,1836.3408203125 
1620,1903.25390625 
1630,1910.866943359375 
1640,1910.866943359375 
1650,1924.281982421875 
1660,1924.281982421875 
1670,1924.281982421875 
1680,1924.281982421875 
1690,2559.2041015625 
1700,2559.2041015625 
1710,2559.2041015625 
1720,2559.2041015625 
1730,2559.2041015625 
1740,2559.2041015625 
1750,2559.2041015625 
1760,2559.2041015625 
1770,2559.2041015625 
1780,2559.2041015625 
1790,2559.2041015625 
1800,2559.2041015625 
1810,2559.2041015625 
1820,2559.2041015625 
1830,2559.2041015625 
1840,2559.2041015625 
1850,2559.2041015625 
1860,2559.2041015625 
1870,2559.2041015625 
1880,2559.2041015625 
1890,2559.2041015625 
1900,2559.2041015625 
1910,2559.2041015625 
1920,2559.2041015625 
1930,2559.2041015625 
1940,2559.2041015625 
1950,2559.2041015625 
1960,2559.2041015625 
1970,2559.2041015625 
1980,2559.2041015625 
1990,2559.2041015625 
2000,2559.2041015625 
2010,2559.2041015625 
2020,2559.2041015625 
2030,2559.2041015625 
2040,2559.2041015625 
2050,2559.2041015625 
2060,2559.2041015625 
2070,2559.2041015625 
2080,3183.053955078125 
2090,3183.053955078125 
2100,3183.053955078125 
2110,3183.053955078125 
2120,3183.053955078125 
2130,3183.053955078125 
2140,3183.053955078125 
2150,3183.053955078125 
