time,load@tsung_controller@3569fb844dae 
2890,0.8203125 
2900,0.8203125 
2910,0.8203125 
2920,0.8203125 
2930,0.8203125 
2940,0.8203125 
2950,0.8203125 
2960,0.8203125 
2980,0.8203125 
2990,0.8203125 
3000,0.8203125 
3010,0.8203125 
3020,0.8203125 
3030,0.8203125 
3040,0.8203125 
3050,0.8203125 
3060,0.8203125 
3070,0.8203125 
3080,0.8203125 
3090,0.8203125 
3100,0.8203125 
3110,0.8203125 
3120,0.8203125 
3130,0.8203125 
3140,0.8203125 
3150,0.8203125 
3160,0.8203125 
3170,0.8203125 
3180,0.8203125 
3190,0.8203125 
3200,0.8203125 
3210,0.8203125 
3220,0.8203125 
3230,0.8203125 
3240,0.8203125 
3250,0.8203125 
3260,0.8203125 
3270,0.8203125 
3280,0.8203125 
3290,0.8203125 
3300,0.8203125 
3310,0.8203125 
3320,0.8203125 
3330,0.8203125 
3340,0.8203125 
3350,0.8203125 
3360,0.8203125 
3370,0.8203125 
3380,0.8203125 
3390,0.8203125 
3400,0.8203125 
3410,0.8203125 
3420,0.8203125 
3430,0.8203125 
3440,0.8203125 
3450,0.8203125 
3460,0.8203125 
3470,0.8203125 
3480,0.8203125 
3490,0.8203125 
3500,0.8203125 
3510,0.8203125 
3520,0.8203125 
3530,0.8203125 
3540,0.8203125 
3550,0.8203125 
3560,0.8203125 
3570,0.8203125 
3580,0.8203125 
3590,0.8203125 
3600,0.8203125 
3610,0.8203125 
3620,0.8203125 
3630,0.8203125 
3640,0.8203125 
3650,0.8203125 
3660,0.8203125 
3670,0.8203125 
3680,0.8203125 
3690,0.8203125 
3700,0.8203125 
3710,0.8203125 
3720,0.8203125 
3730,0.8203125 
3740,0.8203125 
3750,0.8203125 
3760,0.8203125 
3770,0.8203125 
3780,0.8203125 
3790,0.8203125 
3800,0.8203125 
3810,0.8203125 
3820,0.8203125 
3830,0.8203125 
3840,0.8203125 
3850,0.8203125 
3860,0.8203125 
3870,0.8203125 
3880,0.8203125 
3890,0.8203125 
3900,0.8203125 
3910,0.8203125 
3920,0.8203125 
3930,0.8203125 
3940,0.8203125 
3950,0.8203125 
3960,0.8203125 
3970,0.8203125 
3980,0.8203125 
3990,0.8203125 
4000,0.8203125 
4010,0.8203125 
4020,0.8203125 
4030,0.8203125 
4040,0.8203125 
4050,0.8203125 
4060,0.8203125 
4070,0.8203125 
4080,0.8203125 
4090,0.8203125 
4100,0.8203125 
4110,0.8203125 
4120,0.8203125 
4130,0.8203125 
4140,0.8203125 
4150,0.8203125 
4160,0.8203125 
4170,0.8203125 
4180,0.8203125 
4190,0.8203125 
4200,0.8203125 
4210,0.8203125 
4220,0.8203125 
4230,0.8203125 
4240,0.8203125 
4250,0.8203125 
4260,0.8203125 
4270,0.8203125 
4280,0.8203125 
4290,0.8203125 
4300,0.8203125 
4310,0.8203125 
4320,0.8203125 
4330,0.8203125 
4340,0.8203125 
4350,0.8203125 
4360,0.8203125 
4370,0.8203125 
4380,0.8203125 
4390,0.8203125 
4400,0.8203125 
4410,0.8203125 
4420,0.8203125 
4430,0.8203125 
4440,0.8203125 
4450,0.8203125 
4460,0.8203125 
4470,0.8203125 
4480,0.8203125 
4490,0.8203125 
4500,0.8203125 
4510,0.8203125 
4520,0.8203125 
4530,0.8203125 
4540,0.8203125 
4550,0.8203125 
4560,0.8203125 
4570,0.8203125 
4580,0.8203125 
4590,0.8203125 
4600,0.8203125 
4610,0.8203125 
4620,0.8203125 
4630,0.8203125 
4640,0.8203125 
4660,0.8203125 
4670,0.8203125 
4680,0.8203125 
4690,0.8203125 
4700,0.8203125 
4710,0.8203125 
4720,0.8203125 
4730,0.8203125 
4740,0.8203125 
4750,0.8203125 
4760,0.8203125 
4770,0.8203125 
4780,0.8203125 
