time,session 
3960,0 
3970,0 
3980,63597.972900390625 
3990,44499.180474727225 
4000,3.0379638671875 
4010,119960.93727327487 
4020,63631.053240465204 
4030,47428.52470690838 
4040,127225.54602050781 
4050,186067.07386965337 
4060,97185.81725681877 
4070,59988.81688201619 
4080,62327.103349737714 
4090,99350.84995014951 
4100,101751.43564180833 
4110,106029.79859003167 
4120,99453.09103507563 
4130,119364.11636420732 
4140,108354.12777197895 
4150,122690.21310926523 
4160,88546.80806117046 
4170,112299.31555032363 
4180,91890.1830150633 
4190,131271.30581533434 
4200,101147.68316227617 
4210,129412.12405952017 
4220,106980.84727369228 
4230,105520.28040677485 
4240,119003.73463485995 
4250,109037.24059926857 
4260,130320.29030762629 
4270,100596.94013565268 
4280,107944.41862537483 
4290,120400.36135841835 
4300,102590.5921340062 
4310,145959.34290483713 
4320,125845.06048268877 
4330,125650.16075920856 
4340,122573.4005177275 
4350,140371.91602905773 
4360,127486.40774731223 
4370,126402.17325475991 
4380,134332.95971773658 
4390,110867.4812844355 
4400,120567.20358589025 
4410,136713.11656575068 
4420,123429.6073104594 
4430,135832.861785041 
4440,148441.6050491575 
4450,136833.20226757004 
4460,141846.6101277299 
4470,135301.2976644206 
4480,145647.83057108478 
4490,153276.27755372613 
4500,152931.33625122014 
4510,150523.98079186172 
4520,150580.49934358275 
4530,145846.64800364085 
4540,144664.5759275063 
4550,129082.75481871847 
4560,154457.86647281036 
4570,142732.1449751568 
4580,147420.3002180114 
4590,153549.843929638 
4600,140591.9694795985 
4610,152558.44883581874 
4620,170982.8275141698 
4630,168726.86328402997 
4640,172033.57742704547 
4650,162373.90950936163 
4660,171922.08790864132 
4670,162158.58456734623 
4680,172995.66859140914 
4690,170818.443372892 
4700,176241.43518915048 
4710,174205.97906161626 
4720,174018.17582872463 
4730,176261.8508378746 
4740,187459.227107644 
4750,196561.7478759115 
4760,195607.11327946477 
4770,192221.83593899535 
4780,190479.6926361738 
