time,page 
4250,421.5 
4260,424.9 
4270,487.9 
4280,356.7 
4290,381.8 
4300,387.9 
4310,444.5 
4320,423.3 
4330,367.9 
4340,424.3 
4350,433.6 
4360,377.3 
4370,462.8 
4380,426 
4390,434.2 
4400,369.5 
4410,420.4 
4420,465.6 
4430,353.1 
4440,523.6 
4450,319.5 
4460,416.7 
4470,369.4 
4480,378.8 
4490,437.8 
4500,378.5 
4510,429.5 
4520,344 
4530,397.8 
4540,389.7 
4550,322.2 
4560,511.8 
4570,392.9 
4580,434 
4590,424.3 
4600,467.7 
4610,328.2 
4620,438 
4630,456.7 
4640,372.2 
4650,431.6 
4660,389.2 
4670,493.6 
4680,424.3 
4690,344.2 
4700,458 
4710,433.9 
4720,427.5 
4730,445.5 
4740,382.3 
4750,436.2 
4760,379.2 
4770,348.3 
4780,441.6 
