time,size_rcv,size_sent 
1820,858.11796875,1123.8359375 
1830,888.40234375,1146.6015625 
1840,861.0484375,1128.8828125 
1850,912.26953125,1163.828125 
1860,851.5703125,1118.046875 
1870,888.6296875,1149.8515625 
1880,878.41484375,1132.4296875 
1890,879.80625,1149.859375 
1900,904.221875,1132.265625 
1910,882.621875,1144.453125 
1920,840.59609375,1130.609375 
1930,877.65078125,1127.171875 
1940,898.20078125,1157.1640625 
1950,879.8140625,1125.40625 
1960,846.98046875,1120.546875 
1970,834.05,1080.734375 
1980,890.240625,1127.9921875 
1990,886.1671875,1138.6640625 
2000,864.80234375,1145.3671875 
2010,902.00234375,1138.734375 
2020,838.965625,1117.9765625 
2030,867.640625,1126.09375 
2040,882.13203125,1127.1796875 
2050,890.1140625,1149.96328125 
2060,879.5765625,1130.646875 
2070,851.20078125,1120.8421875 
2080,853.6328125,1108.584375 
2090,871.41015625,1142.5171875 
2100,904.88359375,1170.60390625 
2110,898.2,1163.46796875 
2120,880.553125,1140.33046875 
2130,867.6125,1125.86796875 
2140,910.24921875,1166.91796875 
2150,859.21875,1148.67890625 
2160,835.23203125,1102.365625 
2170,903.1640625,1126.80234375 
2180,895.96875,1154.203125 
2190,866.91796875,1135.61953125 
2200,826.1703125,1111.84296875 
2210,924.75078125,1162.6109375 
2220,868.00703125,1143.221875 
2230,856.11640625,1130.26015625 
2240,915.40546875,1180.35234375 
2250,886.42421875,1127.1203125 
2260,875.9046875,1135.77265625 
2270,807.559375,1097.37578125 
2280,885.39375,1141.28984375 
2290,878.7390625,1129.8375 
2300,852.3671875,1108.009375 
2310,847.58984375,1106.640625 
2320,890.5390625,1126.3 
2330,849.36015625,1138.6375 
2340,858.10390625,1126.721875 
2350,920.7,1174.75 
2360,905.434375,1156.62109375 
2370,888.54921875,1163.27734375 
2380,875.3984375,1151.06015625 
2390,853.68125,1118.73671875 
2400,884.15859375,1148.1046875 
2410,870.8,1145.1609375 
2420,891.1015625,1133.64453125 
2430,911.04375,1154.24609375 
2440,881.32109375,1162.103125 
2450,872.97421875,1143.20625 
2460,865.6125,1129.11015625 
2470,878.40546875,1143.33671875 
2480,888.1328125,1148.96484375 
2490,851.93359375,1117.41640625 
2500,898.5953125,1155.1109375 
2510,896.8640625,1160.646875 
2520,859.871875,1125.7109375 
2530,860.98203125,1143.97265625 
2540,894.38828125,1143.85703125 
2550,818.065625,1094.91640625 
2560,930.6359375,1152.13984375 
2570,845.221875,1121.9796875 
2580,854.08046875,1131.8609375 
2590,907.25390625,1155.15546875 
2600,880.05390625,1135.17265625 
2610,906.50859375,1148.20625 
2620,830.18984375,1122.05546875 
2630,845.2546875,1116.35078125 
2640,910.87578125,1156.35 
2650,834.21015625,1122.44140625 
2660,927.803125,1167.06796875 
2670,798.2296875,1088.45703125 
2680,928.30625,1165.88828125 
2690,823.44921875,1115.27734375 
2700,983.7765625,1190.05859375 
2710,835.04375,1130.63984375 
2720,870.6140625,1123.8890625 
2730,842.696875,1115.73671875 
2740,904.40625,1148.49921875 
2750,850.378125,1149.3015625 
2760,903.11796875,1148.39375 
2770,841.44296875,1102.85703125 
2780,862.209375,1126.45078125 
2790,913.08984375,1125.4453125 
2800,825.2765625,1109.34453125 
2810,832.8125,1100.29296875 
2820,887.79140625,1145.08359375 
2830,896.18203125,1152.2125 
2840,902.63828125,1164.1859375 
2850,856.90546875,1095.45390625 
2860,820.45390625,1091.88984375 
2870,849.7828125,1138.31875 
2880,915.97109375,1160.4859375 
2890,852.04765625,1115.12421875 
2900,869.640625,1157.61328125 
2910,852.9171875,1112.8171875 
2920,954.59375,1168.40625 
2930,830.15546875,1118.0046875 
2940,907.9703125,1162.48671875 
2950,812.61484375,1090.6703125 
2960,874.44609375,1141.95625 
2970,826.9234375,1112.553125 
2980,967.5421875,1179.0203125 
2990,766.90546875,1062.05546875 
3000,968.8765625,1204.01015625 
3010,873.76484375,1130.93828125 
3020,867.303125,1146.2359375 
3030,883.77265625,1129.43046875 
3040,786.31640625,1076.82421875 
3050,938.79296875,1176.4140625 
3060,815.2765625,1110.18046875 
3070,873.97734375,1126.35078125 
3080,939.31171875,1176.07890625 
3090,834.4203125,1124.4 
3100,864.7953125,1129.8375 
3110,896.49375,1152.5453125 
3120,857.396875,1127.9234375 
3130,907.84453125,1149.71796875 
3140,856.9328125,1125.70390625 
3150,947.025,1202.896875 
3160,864.70703125,1133.58984375 
3170,822.7671875,1094.9828125 
3180,889.71875,1155.34375 
3190,903.55625,1157.7875 
3200,833.07421875,1128.75390625 
3210,985.4203125,1197.275 
3220,855.86328125,1132.01171875 
3230,844.18671875,1119.90703125 
3240,849.13828125,1131.94375 
3250,953.78671875,1178.7171875 
3260,846.6890625,1151.31875 
3270,931.0015625,1163.178125 
3280,802.19609375,1082.0109375 
3290,877.40078125,1130.3609375 
3300,874.484375,1133.22265625 
3310,829.734375,1088.61328125 
3320,932.58671875,1169.690625 
3330,850.14140625,1133.90546875 
3340,836.6640625,1101.12109375 
3350,868.30859375,1129.515625 
3360,880.2875,1124.7828125 
3370,927.10859375,1174.13359375 
3380,868.921875,1149.22265625 
3390,848.10546875,1092.62734375 
3400,820.6671875,1152.03359375 
3410,890.16796875,1189.296875 
3420,1009.003125,1165.2265625 
3430,749.61484375,1086.78046875 
3440,917.24921875,1168.38359375 
3450,879.4375,1116.69140625 
3460,890.92109375,1156.9109375 
3470,904.19296875,1145.33828125 
3480,851.59765625,1151.02734375 
3490,854.4359375,1127.18125 
3500,978.31875,1211.99375 
3510,796.0125,1086.5609375 
3520,825.79921875,1092.35390625 
3530,917.6171875,1148.8125 
3540,866.7078125,1114.5578125 
3550,892.671875,1163.859375 
3560,804.73671875,1074.89609375 
3570,902.18671875,1145.94609375 
3580,885.66875,1140.315625 
3590,917.60390625,1146.80625 
3600,749.02265625,1070.434375 
3610,903.94453125,1085.0828125 
3620,782.871875,1144.190625 
3630,781.978125,988.959375 
3640,915.946875,1241.04140625 
3650,977.44609375,1178.94453125 
3660,883.540625,1151.725 
3670,958.19296875,1230.9984375 
3680,868.33515625,1109.74296875 
3690,781.13359375,1078.26875 
3700,894.146875,1133.61875 
3710,893.5203125,1167.8078125 
3720,777.68203125,1080.27109375 
3730,920.93828125,1144.80390625 
3740,900.2890625,1168.95703125 
3750,881.3609375,1145.90078125 
3760,800.75703125,1051.41875 
3770,913.803125,1205.35703125 
3780,783.91328125,995.85625 
3790,970.00078125,1218.1671875 
3800,904.07890625,1181.14375 
3810,846.79453125,1134.86171875 
3820,909.33203125,1166.25 
3830,781.77734375,1032.27734375 
3840,923.259375,1097.83359375 
3850,774.3640625,1156.890625 
3860,949.7625,1208.3546875 
3870,956.55390625,1211.97734375 
3880,754.7296875,928.121875 
3890,839.3046875,1115.35546875 
3900,903.42109375,1230.0203125 
3910,794.17265625,1011.9015625 
