time,page 
50,2.7598743182224577 
60,4.797564719105198 
70,12.829206298932839 
80,21.345151328321393 
90,27.53468917439362 
100,34.46838409059482 
110,42.00367372063209 
120,45.87532882801154 
130,52.62887210268923 
140,58.14067617114472 
150,62.35280754847082 
160,67.53019534487007 
170,75.25000151186806 
180,78.85243358859793 
190,85.49100224225572 
200,90.89672032000433 
210,92.09354019011802 
220,93.8910102158963 
230,106.33924386436303 
240,103.92321808811431 
250,113.59337369817783 
260,116.15478049520516 
270,119.09670150577254 
280,126.40396208739986 
290,136.0026813017904 
300,137.37652521414228 
310,146.55471670848172 
320,154.6607237936288 
330,156.72852908234063 
340,155.9246902586735 
350,171.70666201896753 
360,170.59238062690739 
370,183.65555020226984 
380,178.11489542627 
390,181.5170552238094 
400,202.55756264747788 
410,218.55496475010702 
420,205.22954924289618 
430,210.69718713421753 
440,216.3824791522573 
450,229.15044203860788 
460,218.6431628087248 
470,234.95945842793233 
480,229.54395658503307 
490,248.42323248971957 
500,263.943298826567 
510,248.50798404503786 
520,263.72932273763917 
530,283.160190902219 
540,295.5658766251561 
550,307.25278495683784 
560,299.37840725610874 
570,320.9871763372091 
580,321.2449286564116 
590,328.4940195284538 
600,337.261388792654 
610,344.1765170373425 
620,335.5201813117536 
630,322.55929366987164 
640,322.818376391914 
650,389.67250172171407 
660,399.6480848469919 
670,355.9738940136668 
680,374.98404519256667 
690,413.9389328843971 
700,415.8863663255394 
710,402.8042800062284 
720,427.53736278177007 
730,397.8041809926289 
740,433.59643938000113 
750,432.69875241119206 
760,454.6536482379627 
770,451.31212631738975 
780,432.253149676366 
790,434.12114126080235 
800,450.77480830475923 
810,456.5569766200158 
820,494.3345641722018 
830,465.70916652547226 
840,506.94612518531903 
850,473.9603404699313 
860,506.12121459435525 
870,493.2344172645699 
880,512.8225399353728 
890,517.2328872836044 
900,519.0944562692579 
910,519.4183465776125 
920,501.72483689116655 
930,510.01710286524394 
940,529.6257592405332 
950,549.4553430747293 
960,559.9915403987459 
970,538.079281897457 
980,540.4072264185509 
990,556.4734555493094 
1000,597.0842246251283 
1010,583.3617934841014 
1020,556.5069985543059 
1030,571.1490887393103 
1040,601.5928393090396 
1050,607.2418720930351 
1060,607.2803571540608 
1070,626.5421325117771 
1080,612.4275216141702 
1090,619.6969211758319 
1100,610.1478366726549 
1110,656.5803871044577 
1120,646.9579307335379 
1130,632.2772154246833 
1140,648.2794406341749 
1150,667.4850704162128 
1160,661.2340346913822 
1170,641.1405637761915 
1180,661.5813188911195 
1190,700.6798777875276 
1200,690.4926729124388 
1210,712.0551854233807 
1220,691.8821559108076 
1230,715.4258675282449 
1240,690.1061961210161 
1250,693.6629034984855 
1260,715.7605903445299 
1270,754.6709158727039 
1280,740.065971128802 
1290,747.8135557445831 
1300,750.2246094760299 
1310,745.8506594744455 
1320,748.4793337709424 
1330,749.8594908889414 
1340,760.5812192224101 
1350,765.5966281894795 
1360,771.4769547698182 
1370,763.7368156745601 
1380,767.3444955213721 
1390,801.4789067555457 
1400,816.5765681009007 
1410,779.8700391514603 
1420,841.2953470615123 
1430,867.3834427491199 
1440,821.0285217629054 
1450,860.2376857103164 
1460,824.0103868035819 
1470,846.2246497544918 
1480,863.300386726546 
1490,891.4508671562215 
1500,867.2065183836182 
1510,851.5831346841481 
1520,846.9876892453877 
1530,865.9042789516993 
1540,887.0495886714006 
1550,890.5421709360369 
1560,884.6451838723294 
1570,872.927759630927 
1580,886.7270257006088 
1590,917.5006589155935 
1600,896.0557933105268 
1610,897.6118280507109 
1620,924.7752546426069 
1630,933.126830978281 
1640,950.9564389999249 
1650,981.0410879824473 
1660,950.3699209586013 
1670,971.0126598002856 
1680,972.3314635777996 
1690,986.2940991041563 
1700,1050.5106188153684 
1710,981.6737179137865 
1720,992.9401982799427 
1730,1077.73436352351 
1740,1007.1401664231646 
1750,1035.2785862548644 
1760,986.3737438793631 
1770,1013.8306030203025 
1780,1037.7236571456199 
1790,1057.7338970100577 
1800,1059.2357173715607 
1810,1072.424495565741 
1820,1078.2441696425185 
1830,1049.4623400244095 
1840,1077.1968091621973 
1850,1056.9799675059423 
1860,1080.9482316986393 
1870,1046.3334653222219 
1880,1108.1682228816383 
1890,1103.9630123035954 
1900,1107.7724075739368 
1910,1101.0411825608437 
1920,1146.3114410124147 
1930,1136.3551023207758 
1940,1145.7501889092791 
1950,1136.3601318166134 
1960,1123.949570996238 
1970,1129.0615438764657 
1980,1183.2136829251356 
1990,1184.0085124288673 
2000,1172.040356445307 
2010,1168.072400419334 
2020,1179.865019830259 
2030,1189.6331161399974 
2040,1137.7847666104522 
2050,1182.12522302602 
2060,1200.475002915116 
2070,1197.8989496158297 
2080,1216.2540265050498 
2090,1214.5569845922296 
2100,1233.7738671893999 
2110,1219.8467627739908 
2120,1222.2502263087642 
2130,1223.7709654717235 
2140,1255.9051560603918 
2150,1278.3370697420373 
2160,1288.2077450016993 
2170,1296.0432197392226 
2180,1247.1070259712872 
2190,1286.813816754415 
2200,1419.7474774556417 
2210,1267.335748872903 
2220,1305.0855857349616 
2230,1284.47628639096 
2240,1310.048717231273 
2250,1289.9876234927226 
2260,1323.865571802311 
2270,1362.4552750396238 
2280,1342.532659738551 
2290,1329.1811598467734 
2300,1366.6919891118707 
2310,1358.9877267353388 
2320,1386.5744590325555 
2330,1358.7941268813856 
2340,1363.5500978601233 
2350,1366.1900319567048 
2360,1395.904004917398 
2370,1322.7004660883977 
2380,1545.9792614660373 
2390,1431.7472223763796 
2400,1414.9868873357325 
2410,1428.9504678119033 
2420,1445.5160515748626 
2430,1441.6154825846354 
2440,1440.4875596325217 
2450,1483.722927403181 
2460,1466.6349474297574 
2470,1469.064553771324 
