time,session 
3960,2122.02197265625 
3970,2122.02197265625 
3980,129319.61596679688 
3990,129319.61596679688 
4000,129319.61596679688 
4010,256598.92602539063 
4020,256598.92602539063 
4030,256598.92602539063 
4040,256598.92602539063 
4050,511023.8049316406 
4060,511023.8049316406 
4070,511023.8049316406 
4080,511023.8049316406 
4090,511023.8049316406 
4100,511023.8049316406 
4110,511106.8718261719 
4120,511106.8718261719 
4130,638344.9370117188 
4140,638344.9370117188 
4150,638344.9370117188 
4160,638344.9370117188 
4170,638344.9370117188 
4180,638344.9370117188 
4190,638344.9370117188 
4200,638344.9370117188 
4210,638344.9370117188 
4220,638344.9370117188 
4230,638376.8168945313 
4240,765575.7561035156 
4250,765575.7561035156 
4260,765685.7790527344 
4270,765685.7790527344 
4280,765685.7790527344 
4290,765685.7790527344 
4300,765685.7790527344 
4310,765685.7790527344 
4320,765685.7790527344 
4330,765685.7790527344 
4340,765685.7790527344 
4350,892682.3779296875 
4360,892811.6921386719 
4370,892939.5471191406 
4380,892939.5471191406 
4390,892939.5471191406 
4400,892939.5471191406 
4410,892980.673828125 
4420,892980.673828125 
4430,892980.673828125 
4440,893046.994140625 
4450,893046.994140625 
4460,1019891.8562011719 
4470,1019891.8562011719 
4480,1019891.8562011719 
4490,1019891.8562011719 
4500,1020170.8081054688 
4510,1147269.7180175781 
4520,1147269.7180175781 
4530,1147269.7180175781 
4540,1147269.7180175781 
4550,1147269.7180175781 
4560,1147269.7180175781 
4570,1147269.7180175781 
4580,1147269.7180175781 
4590,1147269.7180175781 
4600,1147269.7180175781 
4610,1147269.7180175781 
4620,1147269.7180175781 
4630,1274376.8430175781 
4640,1274376.8430175781 
4650,1274516.3540039063 
4660,1274516.3540039063 
4670,1274742.9421386719 
4680,1274742.9421386719 
4690,1274742.9421386719 
4700,1401503.5830078125 
4710,1401503.5830078125 
4720,1401503.5830078125 
4730,1401503.5830078125 
4740,1401503.5830078125 
4750,1401503.5830078125 
4760,1401672.8400878906 
4770,1401672.8400878906 
4780,1401672.8400878906 
