time,session 
3960,2122.02197265625 
3970,0 
3980,65721.64306640625 
3990,20288.717041015625 
4000,2124.7760009765625 
4010,86948.54158528645 
4020,65752.81536865234 
4030,23332.675740559895 
4040,129347.44787597656 
4050,108147.099609375 
4060,65749.4393717448 
4070,86959.84195963542 
4080,53012.014404296875 
4090,113471.92459106445 
4100,158752.8608586238 
4110,193008.98806423612 
4120,173405.10990084134 
4130,180272.0444726563 
4140,182016.1904128502 
4150,133760.33231748384 
4160,208897.50703430176 
4170,184498.8250406901 
4180,123322.07570684524 
4190,195333.11250361693 
4200,224842.03702799478 
4210,229098.84695022172 
4220,226466.31859709087 
4230,246061.55769178603 
4240,279076.3087747014 
4250,268651.86440297717 
4260,273600.0369520397 
4270,251527.2737044271 
4280,277555.62990135496 
4290,255142.8417088708 
4300,259699.13638048287 
4310,282901.134123429 
4320,289504.84088889137 
4330,280333.9976663027 
4340,300191.0709195523 
4350,324288.61907280807 
4360,361171.2553652809 
4370,364628.8934415489 
4380,369253.06838638644 
4390,358803.53502876783 
4400,381520.82443689404 
4410,363877.4096764978 
4420,365025.92909458705 
4430,366611.9479406021 
4440,374783.8639155794 
4450,357319.33007175627 
4460,392124.57695668325 
4470,375580.8142663042 
4480,409345.3182486397 
4490,440847.1465425715 
4500,443844.5628781375 
4510,464479.9913637537 
4520,449016.1068794833 
4530,447027.67164576874 
4540,446233.12041349494 
4550,447962.6613444784 
4560,454724.8009190511 
4570,448022.7355597039 
4580,462681.1392896623 
4590,468397.3979045514 
4600,478129.93376813614 
4610,489240.62391656265 
4620,516417.68764445337 
4630,529761.5910360347 
4640,516179.5107000939 
4650,535065.8908157215 
4660,520246.81263250916 
4670,530363.5655524326 
4680,536946.7689533419 
4690,526277.998358319 
4700,519590.3861774327 
4710,533344.7353177513 
4720,526705.4991347038 
4730,533617.1868611659 
4740,559575.0728712393 
4750,572802.9422077754 
4760,580286.827250675 
4770,583363.7253775585 
4780,594351.1475215277 
